0,pop_migrated,MOE +/-,state_population,state_pop_adjusted,moe_adjusted
Alabama,316,217,5024279,6.289459641871003e-05,4.3190276654620496e-05
Alaska,579,658,733391,0.0007894833724438942,0.0008972021745562736
Arizona,79,130,7151502,1.1046630484057754e-05,1.817799953072795e-05
Arkansas,0,192,3011524,0.0,6.37550954267673e-05
California,2427,847,39538223,6.138363881452133e-05,2.1422308230696154e-05
Colorado,337,242,5773714,5.8367975968328186e-05,4.191409550247899e-05
Connecticut,1597,631,3605944,0.0004428798672414214,0.00017498885174034871
Delaware,336,254,989948,0.00033941176708271546,0.0002565791334494337
District of Columbia,0,0,689545,0.0,0.0
Florida,1307,640,21538187,6.0682916347601585e-05,2.9714664470133908e-05
Georgia,1497,599,10711908,0.0001397510135449259,5.59190762280632e-05
Hawaii,339,526,1455271,0.00023294630347199936,0.0003614447068621583
Idaho,0,193,1839106,0.0,0.00010494229261391132
Illinois,753,398,12812508,5.877069501146848e-05,3.1063395238465414e-05
Indiana,215,199,6785528,3.1685080365153604e-05,2.9327120896118917e-05
Iowa,27,46,3190369,8.462970897723742e-06,1.44183948627886e-05
Kansas,0,170,2937880,0.0,5.786485492940488e-05
Kentucky,46,71,4505836,1.0208982306502056e-05,1.5757342255687958e-05
Louisiana,858,475,4657757,0.00018420883700029863,0.00010198041675424458
Maine,0,165,1362359,0.0,0.00012111345100667298
Massachusetts,1557,616,7029917,0.00022148198904766586,8.762550112611572e-05
Michigan,622,325,10077331,6.172269224857257e-05,3.225060286300013e-05
Minnesota,0,145,5706494,0.0,2.540964732460947e-05
Mississippi,0,208,2961279,0.0,7.023991998052193e-05
Missouri,278,219,6154913,4.516716970654175e-05,3.558133153141239e-05
Montana,44,75,1084225,4.058198252207798e-05,6.917383384445111e-05
Nebraska,22,38,1961504,1.1215883322185425e-05,1.9372889374683915e-05
Nevada,0,206,3104614,0.0,6.63528541712432e-05
New Hampshire,108,139,1377529,7.84012532585521e-05,0.00010090531669387723
New Jersey,2173,949,9288994,0.00023393275956470636,0.000102163915704973
New Mexico,411,481,2117522,0.0001940947957093244,0.00022715230349436746
New York,4770,1660,20201249,0.00023612401391616923,8.217313691841529e-05
North Carolina,1253,452,10439388,0.00012002619310633918,4.329755728975683e-05
North Dakota,0,149,779094,0.0,0.00019124778268090885
Ohio,315,262,11799448,2.6696164091743953e-05,2.220442854614894e-05
Oklahoma,155,193,3959353,3.914781026091889e-05,4.874533793778933e-05
Oregon,194,259,4237256,4.5784347228489384e-05,6.11244635679317e-05
Pennsylvania,2177,791,13002700,0.00016742676521030246,6.083351919216778e-05
Rhode Island,1150,864,1097379,0.0010479515281411435,0.0007873305394034331
South Carolina,506,316,5118425,9.885853558467693e-05,6.173774159043065e-05
South Dakota,203,246,886667,0.00022894728235064573,0.00027744350472048697
Tennessee,560,408,6910840,8.103211765863484e-05,5.903768572271967e-05
Texas,1625,716,29145505,5.5754738166314154e-05,2.4566395401280573e-05
Utah,126,158,3271616,3.851307732936873e-05,4.829417633365285e-05
Vermont,0,151,643077,0.0,0.00023480858435304014
Washington,159,152,7705281,2.063519811931583e-05,1.9726730277584946e-05
West Virginia,391,245,1793716,0.0002179832258841422,0.0001365879548378896
Wisconsin,5,12,5893718,8.48360915809002e-07,2.036066197941605e-06
Wyoming,3,9,576851,5.200649734506831e-06,1.5601949203520494e-05
Puerto Rico,62,107,3285874,1.8868648037021505e-05,3.2563634515504856e-05
